Name,Price,Image URL
 Alpha Spirit Complementos Snacks de Pollo en Monodosis para Perro - Pack 16 x 35Grs,9.15 €/u,https://www.petsonic.com/12024-large_default/snacks-de-pollo-en-monodosis-para-perro.jpg
 Purina Pro Plan Delibakie Hearts - 350 Gr.,1.59 €/u,https://www.petsonic.com/14123-large_default/purina-pro-plan-delibakie-hearts-para-perros.jpg
 Alpha Spirit Complementos Snacks de Cordero en Monodosis para Perro - Pack 16 x 35Grs,9.15 €/u,https://www.petsonic.com/12029-large_default/snacks-de-cordero-en-monodosis-para-perro.jpg
 Purina Pro Plan Biscuits Dental Bar 150gr. - 6 Unidades.,15.18 €/u,https://www.petsonic.com/13407-large_default/purina-pro-plan-biscuits-dental-bar-150gr-para-perros.jpg
 Purina Pro Plan Snack Dentalife para Perros Mini - 5 unidades x 115Grs,11.03 €/u,https://www.petsonic.com/11184-large_default/purina-pro-plan-snack-dentalife-mini-para-perros.jpg
 Purina Pro Plan Snack Dentalife para Perros Mini - 4 Unidades x 345gr,22.03 €/u,https://www.petsonic.com/11184-large_default/purina-pro-plan-snack-dentalife-mini-para-perros.jpg
 Purina Pro Plan Adventuros Sticks de Búfalo - Packs 6 sobres de 120 gr,5.80 €/u,https://www.petsonic.com/14130-large_default/purina-pro-plan-adventuros-sticks-bufalo-para-perros.jpg
 Purina Pro Plan Snack Dentalife para Perros Grandes - 5 Unidades x 142gr,8.56 €/u,https://www.petsonic.com/11188-large_default/purina-pro-plan-snack-dentalife-grandes-para-perros.jpg
 Purina Pro Plan Snack Dentalife para Perros Grandes - 5 Unidades x 426gr,27.55 €/u,https://www.petsonic.com/11188-large_default/purina-pro-plan-snack-dentalife-grandes-para-perros.jpg
 Iams Hueso Piel Pollo y Jamón para Perro - L,3.21 €/u,https://www.petsonic.com/11531-large_default/iams-hueso-piel-pollo-y-jamon-para-perros.jpg
 Alpha Spirit Complementos Snacks de Pescado en Monodosis para Perro - Pack 16 x 35Grs,9.15 €/u,https://www.petsonic.com/12027-large_default/snacks-de-pescado-en-monodosis-para-perro.jpg
 greenies Large - 4 Unidades (170 GR),7.35 €/u,https://www.petsonic.com/14141-large_default/greenies-large-para-perros.jpg
 greenies Large - 2x 4 Unidades (340 GR),11.02 €,https://www.petsonic.com/14141-large_default/greenies-large-para-perros.jpg
 greenies Teenie - 1 Unidad (8 GR),0.64 €/u,https://www.petsonic.com/18835-large_default/greenies-teenie-para-perros.jpg
 greenies Teenie - 22 Unidades (170 GR),7.31 €/u,https://www.petsonic.com/18835-large_default/greenies-teenie-para-perros.jpg
 greenies Teenie - 43 Unidades (340 GR),10.70 €/u,https://www.petsonic.com/18835-large_default/greenies-teenie-para-perros.jpg
 greenies Teenie - 2x 43 Unidades (680 GR),17.72 €,https://www.petsonic.com/18835-large_default/greenies-teenie-para-perros.jpg
 greenies Teenie - 2+1 Unidades de 170gr (oferta),21.94 €/u,https://www.petsonic.com/18835-large_default/greenies-teenie-para-perros.jpg
 Acana Treat Grass-Fed Lamb 35 gr - 1 Unidad.,4.02 €/u,https://www.petsonic.com/13838-large_default/treat-grass-fed-lamb-35-gr.jpg
 greenies Regular - 6 Unidades (170 GR),5.79 €/u,https://www.petsonic.com/18837-large_default/greenies-regular-para-perros.jpg
 greenies Regular - 12 Unidades (340 GR),10.70 €/u,https://www.petsonic.com/18837-large_default/greenies-regular-para-perros.jpg
 greenies Regular - 2x 12 Unidades (680 GR),17.72 €,https://www.petsonic.com/18837-large_default/greenies-regular-para-perros.jpg
 greenies Regular - 2+1 Unidades de 170gr (oferta),22.04 €/u,https://www.petsonic.com/18837-large_default/greenies-regular-para-perros.jpg
 Affinity Advance Dental Care Stick Mini Pack 4 x 360Grs - 28 Unidades,27.55 €/u,https://www.petsonic.com/18855-large_default/affinity-advance-dental-care-stick-mini-para-perros.jpg
 Iams Hueso Piel Pollo y Ternera para Perro - S,3.21 €/u,https://www.petsonic.com/11547-large_default/iams-hueso-piel-pollo-y-ternera-para-perros.jpg
 Iams Hueso Piel Pollo y Ternera para Perro - M,3.36 €/u,https://www.petsonic.com/11547-large_default/iams-hueso-piel-pollo-y-ternera-para-perros.jpg
 Iams Hueso Piel Pollo y Ternera para Perro - L,3.67 €/u,https://www.petsonic.com/11547-large_default/iams-hueso-piel-pollo-y-ternera-para-perros.jpg
 Iams Huesos Piel Pollo y Jamón para Perro - 7 Unidades.,4.13 €/u,https://www.petsonic.com/11528-large_default/iams-huesos-piel-pollo-y-jamon-para-perros.jpg
 Orijen Regional Treats 42.5 gr - 1 Unidad.,5.05 €/u,https://www.petsonic.com/13414-large_default/regional-treats-42-5-gr.jpg
 Orijen Regional Treats 42.5 gr - 6 Unidades.,30.35 €/u,https://www.petsonic.com/13414-large_default/regional-treats-42-5-gr.jpg
 Kong Pasta Easy Treat para Perro - 0.236 L,5.36 €/u,https://www.petsonic.com/13278-large_default/kong-pasta-easy-treat-para-perros.jpg
 Hills Ideal Balance IB Snack Pollo y Manzana - 1 Sobre 227 gr,4.27 €/u,https://www.petsonic.com/17227-large_default/hill-s-ideal-balance-ib-snack-pollo-manzana-para-perros.jpg
 Hills Ideal Balance IB Snack Pollo y Manzana - 1 x 6 sobres 227 gr,17.47 €/u,https://www.petsonic.com/17227-large_default/hill-s-ideal-balance-ib-snack-pollo-manzana-para-perros.jpg
 Bayer Limpiador Dental Masticable para Perros - 140 gr,5.97 €/u,https://www.petsonic.com/15895-large_default/bayer-limpiador-dental-masticable-para-perros.jpg
 Acana Treat Yorkshire Pork 35 gr - 1 Unidad.,4.02 €/u,https://www.petsonic.com/13840-large_default/treat-yorkshire-pork-35-gr.jpg
 Alpha Spirit Complementos Snacks de Higado en Monodosis para Perro - Pack 16 x 35Grs,9.15 €/u,https://www.petsonic.com/12026-large_default/snacks-de-higado-en-monodosis-para-perro.jpg
 Purina Pro Plan Delibakie Biscotti - 270 Gr,2.29 €/u,https://www.petsonic.com/14121-large_default/purina-pro-plan-delibakie-biscotti-para-perros.jpg
 Purina Pro Plan Biscuits Light 400gr. - 4 Unidades,10.99 €/u,https://www.petsonic.com/13408-large_default/purina-pro-plan-biscuits-light-400gr-para-perros.jpg
 Pedigree Dentastix 10-25Kg Sticks Dentales - 7 barritas,3.04 €/u,https://www.petsonic.com/10753-large_default/pedigree-dentastix-10-25kg-sticks-dentales-para-perros.jpg
 Pedigree Dentastix 10-25Kg Sticks Dentales - Caja 28 barritas(7x4),11.06 €/u,https://www.petsonic.com/10753-large_default/pedigree-dentastix-10-25kg-sticks-dentales-para-perros.jpg
 Kong Pasta Easy Treat para Cachorros - 0.236 L,5.36 €/u,https://www.petsonic.com/13277-large_default/kong-pasta-easy-treat-para-cachorros-para-perros.jpg
 Alpha Spirit Complementos Snacks de Ternera en Monodosis para Perro - Pack 16 x 35Grs,9.15 €/u,https://www.petsonic.com/12023-large_default/alpha-spirit-snacks-ternera-monodosis-para-perros.jpg
 Orijen Orijen Free Run Duck dog treats premios para perros - 42.5 Gr,5.05 €/u,https://www.petsonic.com/19383-large_default/orijen-treat-free-run-duck-42-5-gr-para-perros.jpg
 Purina Pro Plan Adventuros Mini Sticks de Búfalo - Pack 6 sobres de 90gr,5.80 €/u,https://www.petsonic.com/14127-large_default/purina-pro-plan-adventuros-mini-sticks-bufalo-para-perros.jpg
 Acana Treat Free Run Duck 35 gr - 1 Unidad.,4.02 €/u,https://www.petsonic.com/13837-large_default/treat-free-run-duck-35-gr.jpg
 Pedigree Sticks Pedigree Dentastix +25 Kg - Caja 28 barritas(7x4),9.19 €/u,https://www.petsonic.com/8480-large_default/pedigree-dentastix-25-kg-para-perros.jpg
 Pedigree Sticks Pedigree Dentastix +25 Kg - 1 unidad de 285 gr,2.75 €/u,https://www.petsonic.com/8480-large_default/pedigree-dentastix-25-kg-para-perros.jpg
 greenies Petite - 10 Unidades (170 GR),5.74 €/u,https://www.petsonic.com/18832-large_default/greenies-petite-para-perros.jpg
 Purina Pro Plan Snack Dentalife para Perros Medianos - 5 unidades x 115Grs,10.99 €/u,https://www.petsonic.com/11186-large_default/purina-pro-plan-snack-dentalife-medianos-para-perros.jpg
 Purina Pro Plan Snack Dentalife para Perros Medianos - 5 unidades x 345Grs,27.55 €/u,https://www.petsonic.com/11186-large_default/purina-pro-plan-snack-dentalife-medianos-para-perros.jpg
 Alpha Spirit Complementos Snacks de Queso en Monodosis para Perro - Pack 16 x 35Grs,9.15 €/u,https://www.petsonic.com/12025-large_default/snacks-de-queso-en-monodosis-para-perro.jpg
 Affinity Advance Articular Snack - 1 x 14 packs de 155 gr,33.07 €/u,https://www.petsonic.com/18859-large_default/affinity-advance-articular-snack-para-perros.jpg
 Purina Pro Plan Adventuros Strips Venado - Pack 6 sobres de 90gr,5.80 €/u,https://www.petsonic.com/14128-large_default/purina-pro-plan-adventuros-strips-venado-para-perros.jpg
 Vetnova Glyco-flex l Snacks para Perro - 120 Comprimidos,64.26 €/u,https://www.petsonic.com/11857-large_default/glyco-flex-l-snacks-para-perro.jpg
 Orijen Treats Ranch Romney Lamb 56gr. - 1 Unidad.,5.05 €/u,https://www.petsonic.com/19382-large_default/orijen-treats-ranch-raised-lamb-56gr-para-perros.jpg
 Orijen Treats Ranch Romney Lamb 56gr. - 6 Unidades.,28.51 €/u,https://www.petsonic.com/19382-large_default/orijen-treats-ranch-raised-lamb-56gr-para-perros.jpg
 Alpha Spirit Complementos Snacks de Pato en Monodosis para Perro - Pack 16 x 35Grs,9.15 €/u,https://www.petsonic.com/12028-large_default/snacks-de-pato-en-monodosis-para-perro.jpg
 Hills Ideal Balance IB Snack Pollo y Zanahoria - 1 Sobre 227 gr,4.27 €/u,https://www.petsonic.com/14131-large_default/hill-s-ideal-balance-ib-snack-pollo-zanahoria-para-perros.jpg
 Hills Ideal Balance IB Snack Pollo y Zanahoria - 1 x 6 sobres 227 gr,17.47 €/u,https://www.petsonic.com/14131-large_default/hill-s-ideal-balance-ib-snack-pollo-zanahoria-para-perros.jpg
 Iams Stick en Espiral Pollo y Jamón para Perro - 55 Gr.,3.67 €/u,https://www.petsonic.com/11534-large_default/iams-stick-en-espiral-pollo-y-jamon-para-perros.jpg
 Iams Stick en Espiral Pollo y Jamón para Perro - 190 gr,6.89 €/u,https://www.petsonic.com/11534-large_default/iams-stick-en-espiral-pollo-y-jamon-para-perros.jpg
 Vetnova Multiva Motion para Perro - 60 Comprimidos,19.24 €/u,https://www.petsonic.com/11872-large_default/vetnova-multiva-motion-para-perro.jpg
 Pedigree Dentastix 5-10 Kg Sticks Dentales - Caja 28 barritas(7x4),7.93 €/u,https://www.petsonic.com/10731-large_default/pedigree-dentastix-5-10-kg-sticks-dentales-para-perros.jpg
 Purina Pro Plan Snack Dentalife para Perro X-Small - 5 Unidades x 69gr,9.15 €/u,https://www.petsonic.com/15574-large_default/snack-dentalife-para-perro-x-small.jpg
 Purina Pro Plan Snack Dentalife para Perro X-Small - 5 Unidades x 207gr,23.87 €/u,https://www.petsonic.com/15574-large_default/snack-dentalife-para-perro-x-small.jpg
 Vetnova Glyco-flex ll Snacks para Gatos y Perros Pequeños - 60 Comprimidos,34.67 €/u,https://www.petsonic.com/11859-large_default/vetnova-glyco-flex-l-snacks-para-gatos-y-perros-pequenos.jpg
 Vetnova Cutania Snacks para Perro Mini y Gato - 60 Comprimidos,19.31 €/u,https://www.petsonic.com/13253-large_default/cutania-snacks-para-perro-mini-gato.jpg
